,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
0,1,CA-2013-152156,2023-11-09,2023-11-12,Second Class,CG-12520,Claire Gute,Consumer,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136
1,2,CA-2013-152156,2023-11-09,2023-11-12,Second Class,CG-12520,Claire Gute,Consumer,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582
2,3,CA-2013-138688,2023-06-13,2023-06-17,Second Class,DV-13045,Darrin Van Huff,Corporate,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714
3,4,US-2012-108966,2022-10-11,2022-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
4,5,US-2012-108966,2022-10-11,2022-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
5,6,CA-2011-115812,2021-06-09,2021-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694
6,7,CA-2011-115812,2021-06-09,2021-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656
7,8,CA-2011-115812,2021-06-09,2021-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
8,9,CA-2011-115812,2021-06-09,2021-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
9,10,CA-2011-115812,2021-06-09,2021-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47
10,11,CA-2011-115812,2021-06-09,2021-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
11,12,CA-2011-115812,2021-06-09,2021-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
12,13,CA-2014-114412,2024-04-16,2024-04-21,Standard Class,AA-10480,Andrew Allen,Consumer,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
13,14,CA-2013-161389,2023-12-06,2023-12-11,Standard Class,IM-15070,Irene Maddox,Consumer,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
14,15,US-2012-118983,2022-11-22,2022-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
15,16,US-2012-118983,2022-11-22,2022-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
16,17,CA-2011-105893,2021-11-11,2021-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176
17,18,CA-2011-167164,2021-05-13,2021-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99
18,19,CA-2011-143336,2021-08-27,2021-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824
19,20,CA-2011-143336,2021-08-27,2021-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
20,21,CA-2011-143336,2021-08-27,2021-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
21,22,CA-2013-137330,2023-12-10,2023-12-14,Standard Class,KB-16585,Ken Black,Corporate,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596
22,23,CA-2013-137330,2023-12-10,2023-12-14,Standard Class,KB-16585,Ken Black,Corporate,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884
23,24,US-2014-156909,2024-07-17,2024-07-19,Second Class,SF-20065,Sandra Flanagan,Consumer,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
24,25,CA-2012-106320,2022-09-25,2022-09-30,Standard Class,EB-13870,Emily Burns,Consumer,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649
25,26,CA-2013-121755,2023-01-16,2023-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
26,27,CA-2013-121755,2023-01-16,2023-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741
27,28,US-2012-150630,2022-09-17,2022-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
28,29,US-2012-150630,2022-09-17,2022-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
29,30,US-2012-150630,2022-09-17,2022-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
30,31,US-2012-150630,2022-09-17,2022-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
31,32,US-2012-150630,2022-09-17,2022-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
32,33,US-2012-150630,2022-09-17,2022-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
33,34,US-2012-150630,2022-09-17,2022-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546
34,35,CA-2014-107727,2024-10-20,2024-10-24,Second Class,MA-17560,Matt Abelman,Home Office,OFF-PA-10000249,Office Supplies,Paper,Staples,29.472,3,0.2,9.9468
35,36,CA-2013-117590,2023-12-09,2023-12-11,First Class,GH-14485,Gene Hale,Corporate,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737
36,37,CA-2013-117590,2023-12-09,2023-12-11,First Class,GH-14485,Gene Hale,Corporate,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
37,38,CA-2012-117415,2022-12-27,2022-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
38,39,CA-2012-117415,2022-12-27,2022-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
39,40,CA-2012-117415,2022-12-27,2022-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
40,41,CA-2012-117415,2022-12-27,2022-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
41,42,CA-2014-120999,2024-09-11,2024-09-16,Standard Class,LC-16930,Linda Cazamias,Corporate,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564
42,43,CA-2013-101343,2023-07-18,2023-07-23,Standard Class,RA-19885,Ruben Ausman,Corporate,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894
43,44,CA-2014-139619,2024-09-20,2024-09-24,Standard Class,ES-14080,Erin Smith,Corporate,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
44,45,CA-2013-118255,2023-03-12,2023-03-14,First Class,ON-18715,Odella Nelson,Corporate,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714
45,46,CA-2013-118255,2023-03-12,2023-03-14,First Class,ON-18715,Odella Nelson,Corporate,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062
46,47,CA-2011-146703,2021-10-20,2021-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784
47,48,CA-2013-169194,2023-06-21,2023-06-26,Standard Class,LH-16900,Lena Hernandez,Consumer,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95
48,49,CA-2013-169194,2023-06-21,2023-06-26,Standard Class,LH-16900,Lena Hernandez,Consumer,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104
49,50,CA-2012-115742,2022-04-18,2022-04-22,Standard Class,DP-13000,Darren Powers,Consumer,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634
50,51,CA-2012-115742,2022-04-18,2022-04-22,Standard Class,DP-13000,Darren Powers,Consumer,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346
51,52,CA-2012-115742,2022-04-18,2022-04-22,Standard Class,DP-13000,Darren Powers,Consumer,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568
52,53,CA-2012-115742,2022-04-18,2022-04-22,Standard Class,DP-13000,Darren Powers,Consumer,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981
53,54,CA-2013-105816,2023-12-12,2023-12-18,Standard Class,JM-15265,Janet Molinari,Corporate,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566
54,55,CA-2013-105816,2023-12-12,2023-12-18,Standard Class,JM-15265,Janet Molinari,Corporate,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855
55,56,CA-2013-111682,2023-06-18,2023-06-19,First Class,TB-21055,Ted Butterfield,Consumer,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14
56,57,CA-2013-111682,2023-06-18,2023-06-19,First Class,TB-21055,Ted Butterfield,Consumer,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.552
57,58,CA-2013-111682,2023-06-18,2023-06-19,First Class,TB-21055,Ted Butterfield,Consumer,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098
58,59,CA-2013-111682,2023-06-18,2023-06-19,First Class,TB-21055,Ted Butterfield,Consumer,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888
